Document Title,Abstract,Year,PDF Link,Authors,Source,label,Round 2,
A Comparison of Software Project Overruns-Flexible versus Sequential Development Models,,NA,NA,"By Kjetil Molokken-Ostvold , Magne Jorgensen ","Found in: IEEE Transactions on Software Engineering 
Issue Date:September 2005 , pp. 754-766",yes,n,
The Clients? Impact on Effort Estimation Accuracy in Software Development Projects,,NA,NA,"
By Stein Grimstad , Magne Jorgensen , Kjetil Molokken-Ostvold ","Found in: 11th IEEE International Software Metrics Symposium (METRICS'05) 
Issue Date:September 2005 , pp. 3
",yes,y,
Evaluating Software Project Prediction Systems,,NA,NA,By Martin Shepperd ,"Found in: 11th IEEE International Software Metrics Symposium (METRICS'05) 
Issue Date:September 2005 , pp. 2",yes,y,
A Probabilistic Model for Predicting Software Development Effort,,NA,NA,"By Parag C. Pendharkar , Girish H. Subramanian , James A. Rodger ","Found in: IEEE Transactions on Software Engineering 
Issue Date:July 2005 , pp. 615-624
",yes,n,
Evidence-Based Guidelines for Assessment of Software Development Cost Uncertainty,,NA,NA,"
By Magne Jorgensen ","Found in: IEEE Transactions on Software Engineering 
Issue Date:November 2005 , pp. 942-954",yes,y,
Practical Guidelines for Expert-Judgment-Based Software Effort Estimation,,NA,NA,"
By Magne Jorgensen ","Found in: IEEE Software 
Issue Date:May 2005 , pp. 57-63",yes,n,
Effectiveness of Requirements Elicitation Techniques: Empirical Results Derived from a Systematic Review,,NA,NA," 
By Alan Davis , Oscar Dieste , Ann Hickey , Natalia Juristo , Ana M. Moreno ","Found in: 14th IEEE International Requirements Engineering Conference (RE'06)
Issue Date:September 2006 , pp. 179-188",yes,y,
The Role of Deliberate Artificial Design Elements in Software Engineering Experiments,,NA,NA,"
By Jo Hannay , Magne J?rgensen ","Found in: IEEE Transactions on Software Engineering 
Issue Date:March 2008 , pp. 242-259",yes,y,
Improving Evidence about Software Technologies: A Look at Model-Based Testing,,NA,NA,"
By Arilo Dias Neto , Rajesh Subramanyan , Marlon Vieira , Guilherme Horta Travassos , Forrest Shul","Found in: IEEE Software l 
Issue Date:May 2008 , pp. 10-13",yes,y,
Evolving Conditional Value Sets of Cost Factors for Estimating Software Development Effort,,NA,NA,"
By Andreas S. Andreou , Efi Papatheocharous , Christos Skouroumounis","Found in: 19th IEEE International Conference on Tools with Artificial Intelligence - Vol.1 (ICTAI 2007)
Issue Date:October 2007 , pp. 165-172
",yes,n,
The affordable application of formal methods to software engineering,,NA,NA,"
By James F. Davis ","Found in: Proceedings of the 2005 annual ACM SIGAda international conference on Ada: The Engineering of Correct and Reliable Software for Real-Time & Distributed Systems using Ada and Related Technologies (SigAda '05) , Issue Date:November 2005 , pp. 2266-2271",yes,y,
Evaluating Quality in Model-Driven Engineering,,NA,NA,"
By Parastoo Mohagheghi , Jan Aagedal ","Found in: International Workshop on Modeling in Software Engineering (MISE'07: ICSE Workshop 2007) 
Issue Date:May 2007 , pp. 6",yes,y,
An Empirical Study to Investigate Software Estimation Trend in Organizations Targeting CMMI^SM,,NA,NA,"
By Mehwish Nasir , H. Farooq Ahmad ","Found in: 5th IEEE/ACIS International Conference on Computer and Information Science and 1st IEEE/ACIS International Workshop on Component-Based Software Engineering,Software Architecture and Reuse (ICIS-COMSAR'06) 
Issue Date:July 2006 , pp. 38-43",yes,y,
A Survey of Software Estimation Techniques and Project Planning Practices,,NA,NA,"
By Mehwish Nasir ","Found in: Seventh ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (SNPD'06) 
Issue Date:June 2006 , pp. 305-310",yes,y,
Eliciting Requirements by Analysing Threats Caused by Users,,NA,NA,"By Elena Ivankina , Camille Salinesi ","Third ACIS Int'l Conference on Software Engineering Research, Management and Applications (SERA'05) 
Issue Date:August 2005 , pp. 104-111",yes,n,
An Empirical Analysis of the Impact of Software Vulnerability Announcements on Firm Stock Price,,NA,NA,"
By Rahul Telang , Sunil Wattal ","Found in: IEEE Transactions on Software Engineering 
Issue Date:August 2007 , pp. 544-557",yes,n,
Formalizing Informal Stakeholder Decisions--A Hybrid Method Approach,,NA,NA,"
By Hasan Kitapci , Barry W. Boehm ","Found in: 40th Annual Hawaii International Conference on System Sciences (HICSS'07) 
Issue Date:January 2007 , pp. 283c",yes,n,
"A Survey on Hair Modeling: Styling, Simulation, and Rendering",,NA,NA,"By Kelly Ward , Florence Bertails , Tae-Yong Kim , Stephen R. Marschner , Marie-Paule Cani , Ming C. Lin ","Found in: IEEE Transactions on Visualization and Computer Graphics 
Issue Date:March 2007 , pp. 213-234",yes,n,
"Software project economics: a roadmap 
",,NA,NA,Martin Shepperd ,"FOSE '07: 2007 Future of Software Engineering , May 2007 ",yes,y,
An analysis of data sets used to train and validate cost prediction systems ,,NA,NA,"Carolyn Mair, Martin Shepperd, Magne J?rgensen ","PROMISE '05: Proceedings of the 2005 workshop on Predictor models in software engineering, May 2005 ",yes,y,
Data sets and data quality in software engineering ,,NA,NA,"Gernot A. Liebchen, Martin Shepperd ","PROMISE '08: Proceedings of the 4th international workshop on Predictor models in software engineering, May 2008 , Publisher: ACM ",yes,y,
Research Directions in Requirements Engineering,,NA,NA,"Betty H. C. Cheng, Joanne M. Atlee ","FOSE '07: 2007 Future of Software Engineering, May 2007, Publisher: IEEE Computer Society ",yes,y,
